"strains"	"A17"	"latd"	"ipd3"	"nad1"	"dnf2"	"dnf3"	"dnf6"	"dnf7"	"sunn4"	"sunn1"	"rdn1"	"hcl"	"dnf1"	"dnf4"	"dnf5dnf2"	"dnf1dnf2"
"MAG5"	-0.736869305417498	1.4720399496947	-0.731291667057526	0.0891037684127174	0.443128031626177	-0.283384956717424	0.0116667259019493	-0.332047125674942	-0.946136086250739	-0.0856410584689053	-0.720873376675172	-0.265977038394036	-0.127320399576098	0.0715968229817354	-0.627764847770195	0.210494399481069
"MAG10"	-2.56239754705549	-0.642140662251787	-2.08468239133202	-1.71891471027739	-1.65978425793009	-0.863815135026909	-1.44970426536814	-2.72162541603862	-1.82811399120083	-1.53617333600437	-2.12788445201351	-3.10238271693348	-1.48791976913565	-1.88297518049361	-2.76894660190152	-1.15640639557223
"MAG16"	-1.67590496940796	-2.04154194797195	-2.11566130988857	-2.20649289168895	-2.08541452194535	-2.01581980623781	-1.61475303723872	-2.39098721617211	-1.92463900661757	-1.86754159650475	-1.27290771987333	-2.03723729063367	-1.80507638218735	-0.985651168326618	-2.37807530760016	-2.1514340543515
"MAG18"	0.119503338771186	-0.0724919080031808	0.477331514539929	0.660626334341454	1.29266454378486	1.7519782062002	0.585840379828173	1.04427251743216	1.60206739940764	0.996588913084297	1.09969169643665	0.918419464971317	0.971534366685535	1.35574270741586	1.29087012969448	0.946296609664672
"MAG21"	-1.29230421414506	0.437537219198714	-1.37117533167454	-0.930295044773443	-1.17653782278597	-0.849620630664825	-1.03443947996352	-1.34942125163539	-1.027773003718	-0.756974828540606	-1.05802345041022	-1.54762275745299	-1.11074976345488	-0.524622225508327	-1.57512939362302	-1.0511016441473
"MAG24"	-1.48849209442485	-1.95473929773119	-1.74506666262069	-1.5206235547753	-1.67340684728882	-0.656776323364022	-1.37082137946891	-1.58740756830857	-1.15289223927315	-1.33330958813212	-1.72549760910737	-1.80290535626323	-1.38179685383846	-1.5755813613253	-1.54460223505186	-1.79679127913233
"MAG27"	-8	-3.56495172095809	-2.72968584377641	-3.68079259967401	-3.31938465383783	-6.95180268067937	-4.97227504269546	-3.00122049194366	-3.89508469968343	-2.61640836871421	-2.45904682437777	-7.5654609709777	-1.98813513408721	-4.33374696564916	-4.54038825858895	-2.01414517272789
"MAG31"	-0.177457381874266	-0.416472715187673	0.268065449868446	0.490033719221475	0.642160032279397	-0.549577778667607	0.028653280764516	0.327993164045542	-0.0489548020949355	-0.366623855411746	-0.270625151048971	0.0330376972627839	-0.211991885239684	-0.371483537396708	0.00210754795955678	0.674939642372154
"MAG34"	0.296460171942631	-1.606049894522	-0.346538061082175	-1.31450570327366	-0.637058199654213	-0.0838610924719521	-0.445378079152838	-0.380551293912609	0.378455753528539	0.195790898745451	0.230327176045271	-0.226062794152024	-0.624942129473475	-0.336119818776555	-0.472878832785987	-0.772430658870345
"MAG40"	-0.115794401780062	-2.20684817183859	-1.47809838726621	-1.24328577518241	-1.27322325864631	-1.19176017672297	-0.489352211482709	-1.22547506483705	-0.406662714621716	0.0234342826523543	-0.24382230284983	-0.959884411002884	-1.02349280529075	-1.25689579943547	-0.637524693024715	-0.971677114314023
"MAG41"	1.01325801082847	-0.809306774172587	-0.126247380668635	0.37933414887803	0.265822005679524	-0.252147280862513	-0.252774988614681	0.0964040653088397	0.99119414331543	0.811737942664011	0.0936878625796398	0.460086728597375	1.15277155243449	0.0358866324791404	0.327818807298075	0.00680775032114579
"MAG42"	0.321617110544948	-1.41276340953761	-0.23896135693735	-1.08735538031703	-0.508184380273536	0.278247641352431	-0.53496863587591	-0.25811040359734	0.368370668315208	0.276688278454263	0.257205074908165	-0.126223097884543	-0.496139654317928	-0.199500594680202	-0.3802140139759	-0.581339999651068
"MAG48"	1.19086615418595	-1.53906497407845	-0.652213562785585	-0.682141653419732	-0.443648900669294	-0.380540726076248	-0.435888462452929	-0.753367514800742	1.10276291542415	0.20148880947824	0.00095949976385608	-0.371373847468553	0.603561275916534	-0.257188840636497	-0.521534239848519	-0.427791312075771
"MAG62"	-0.690097190819114	-2.01788796268541	-1.44053430242511	-1.11793377825214	-1.23208063808607	-1.16666581321675	-0.543923215676454	-1.28905189702874	-1.48484108786062	-1.13036938507328	-0.678000882993167	-0.974491030523733	-0.98112532177116	-0.652381116520856	-1.23456029088924	-1.67704063337062
"MAG66"	0.0383827963054876	-0.0115730435634888	-0.26509385623242	-0.12833530178573	-0.307165252168951	0.332594144609684	0.206564780680911	-0.881550967729302	0.402078252512666	0.363308317317452	0.305861490031409	-0.717172288961843	0.387149598896846	-1.00227189170971	-0.429171080208249	0.510066512964198
"MAG73"	-1.0279557902551	-2.28342798899255	-1.47989150211995	-1.35977036496355	-1.022843170881	-1.39014599627445	-0.477874077837585	-1.89854145700032	-0.792307538447261	-0.428830381446042	-0.704766098357855	-1.58426654516254	-1.11167617545607	-1.87258578199082	-1.68876178374436	-1.59566504431923
"MAG88"	0.619616089146792	-1.43212267847607	-0.0848016727131153	-0.891033615294698	-0.317647723913625	0.793763329752973	-0.346251017052372	-0.0522138493236049	0.768128444953471	0.579825265461356	0.553239974511906	0.286705990336443	-0.35722182274697	-0.134505982099085	-0.124707647844208	-0.307831772665308
"MAG97"	1.00001162401214	-0.349726964798425	0.53835688156326	0.779637447188913	0.5469935214135	0.398285974223489	0.509735973355491	0.955715799280488	1.03953483503339	1.32410305357047	0.880152515709692	0.235019633075925	0.744321113556227	1.68863852083196	1.07334624771059	1.12157399089882
"MAG121"	-4.56415948100852	-1.20321910436129	-2.85653501774715	-2.27909346626476	-1.27394235655528	-1.32385519905144	-2.22894932177299	-2.69328438932577	-1.84963337570453	-2.41914412110017	-1.98309287821387	-3.33228605149311	-1.13401952371481	-4.24544748583591	-3.09028500995159	-1.83943498961011
"MAG123"	0.702777516757377	0.598996368273223	-0.368125260631162	0.371282334399368	-0.257102270122455	-0.0791114737057814	0.394362445354145	-0.00411776851850663	-0.304245047832296	0.120861702611062	-0.0557140862999321	-0.917382089280519	-0.182704845559403	-0.393816894689528	0.020725170965155	-0.57700130159939
"MAG144B"	-0.13421658628366	-0.699681382588244	-0.981385564860355	-0.466132551615391	-0.240560166960279	0.0102469040013085	-0.129530631607736	-0.70656385204907	0.104618574001594	0.0245009771465401	-0.326879398921346	-0.0835405103349428	-0.279886943857207	-0.18343274012464	-0.667863300804066	-0.337673645704995
"MAG145"	-1.48931444229401	-1.20331701462015	-1.89152858685314	-1.84199049792755	-1.59739625553538	-1.76247480180535	-0.930752042050849	-2.17783613859257	-1.68442118522918	-1.2708469258627	-1.17376616556309	-1.99106203810179	-1.42309987239051	-1.43560036662247	-1.71561235556007	-1.8572210229381
"MAG146"	-0.128614999655233	0.90077363405839	-0.485959523195331	0.382039688820972	-0.497016205671899	0.0935321746024389	-0.285452091151214	-0.284677586917852	1.2745099260199	-0.353473287695175	-0.167890257027288	-0.71425633149995	-0.358087547361531	0.0615588284239543	-0.0641386111632891	0.382385002109524
"MAG148B"	1.98297624538476	1.44250897403339	1.05709993356457	1.65245448789688	1.46146653739478	1.74571676150124	1.83868826183545	1.11453239782689	0.410016345128515	2.12218662492935	1.02376389448079	2.81879853804656	1.18145854401658	0.432681790159789	1.751196306861	1.68069043054357
"MAG154"	-1.43014657822461	-1.44735234407453	-1.52231669717691	-1.17522761891393	-1.17788216046575	-0.76049470829961	-1.00488150005496	-1.77103611797692	-0.951661850603083	-1.09545578179049	-1.22073756337297	-1.74741972266517	-1.39211200612993	-1.19434216078988	-1.45247589992787	-0.999113759369385
"MAG157"	-0.328002784465296	-0.589368757348916	0.60743881820444	-0.129619265366672	0.113262925023058	-0.264746962845191	-0.210267688936517	0.0129517705074971	-1.00014958029654	-0.737260511708561	-0.396751243673357	0.220610434881047	-0.869235421369819	-0.0627338872280412	0.223494104830234	-0.560518811667308
"MAG158B"	-1.30062695476582	-0.62430883809683	-1.02273159503263	-0.35228092447598	-0.928743165985012	-0.855737107969021	-0.790198757973989	-1.20541731787024	-1.19814239984854	-0.772717185040491	-0.630309142992396	-1.04544628605104	-0.586232411570511	-0.567986547115668	-1.33419227661764	-0.951456632415616
"MAG169"	-0.695028962345647	0.830040713133613	-0.582383205576421	-0.541706182966011	-0.162949798864379	-0.473824894668604	0.10770131234188	-0.79864424977681	-0.929420678588829	-0.235923978788841	-0.374701276689501	-1.10318644423118	-0.160418129505342	0.269011776727334	-0.575453081745494	-0.201703975467132
"MAG176B"	-0.448925636137153	-1.85065459517738	-0.416415825398958	-0.658177009681658	-0.73105008145469	-0.433414976195724	-0.174528802499055	-0.549145831498596	-0.902601901869425	-0.961938623782145	-0.723543182315445	0.436931711188744	-0.301864721768062	-0.0448059170311437	-0.592573684067915	-0.976613820712797
"MAG177"	0.466506939421191	0.398196648661407	-0.316221806643793	0.114767585221736	0.705427471872993	-0.441877748238116	0.296373132827955	0.188383445369838	1.1240288358207	0.731739122589376	0.0278469213573958	1.02391360206731	0.472965517713832	-0.231752087444426	0.480369970595292	0.327530246253574
"MAG182"	-1.79191329996148	-2.61117482658775	-2.36517869334671	-2.04449481595661	-2.14849570603218	-1.51179072950388	-1.96504657451977	-2.17481906816421	-1.79665627314038	-1.6526721015559	-2.12230879567138	-2.24095878171622	-1.75105297721198	-2.35245392968266	-1.99809278405197	-2.29053137415787
