comparison	diff	lwr	upr	p adj	trait	p_adj	Significant
A17-sunn4	-246.8666667	-550.5842376	56.85090426	0.236759515	nodule_number_per_plant	0.236759515	
A17-sunn1	-187.2666667	-490.9842376	116.4509043	0.677665541	nodule_number_per_plant	0.677665541	
A17-rdn1	-569.6	-920.3028427	-218.8971573	3.95E-05	nodule_number_per_plant	3.95E-05	***
A17-dnf5/dnf2	-98.56666667	-402.2842376	205.1509043	0.998042478	nodule_number_per_plant	0.998042478	
A17-dnf1/dnf2	-104.6416667	-426.7827976	217.4994643	0.998022975	nodule_number_per_plant	0.998022975	
A17-dnf7	28.7	-275.0175709	332.4175709	1	nodule_number_per_plant	1	
A17-dnf6	-272.8666667	-576.5842376	30.85090426	0.122890611	nodule_number_per_plant	0.122890611	
A17-dnf4	-269.7666667	-671.5472474	132.0139141	0.542051635	nodule_number_per_plant	0.542051635	
A17-dnf3	-159.6666667	-463.3842376	144.0509043	0.86575942	nodule_number_per_plant	0.86575942	
A17-dnf2	-116.9666667	-420.6842376	186.7509043	0.988844612	nodule_number_per_plant	0.988844612	
A17-dnf1	-24.76666667	-346.9077976	297.3744643	1	nodule_number_per_plant	1	
A17-nad1	-67.26666667	-417.9695093	283.436176	0.999996899	nodule_number_per_plant	0.999996899	
A17-latd	225.6222222	-300.4320418	751.6764862	0.970617882	nodule_number_per_plant	0.970617882	
A17-ipd3	122.3583333	-199.7827976	444.4994643	0.990222609	nodule_number_per_plant	0.990222609	
A17-hcl	123.8666667	-179.8509043	427.5842376	0.981071818	nodule_number_per_plant	0.981071818	
A17-sunn4	-1.902016667	-2.978742032	-0.825291301	9.09E-06	total_nodulated_area_per_plant	9.09E-06	***
A17-sunn1	-1.376866667	-2.392013077	-0.361720257	0.001185068	total_nodulated_area_per_plant	0.001185068	**
A17-rdn1	-2.337266667	-4.095551826	-0.578981507	0.001611374	total_nodulated_area_per_plant	0.001611374	**
A17-dnf5/dnf2	0.704333333	-0.310813077	1.719479743	0.477215789	total_nodulated_area_per_plant	0.477215789	
A17-dnf1/dnf2	0.811358333	-0.265367032	1.888083699	0.342143921	total_nodulated_area_per_plant	0.342143921	
