"host","top_n","overlap_n","overlap_pct","dataset"
"dnf1",351,112,31.9088319088319,"Strain fitness"
"dnf1dnf2",351,1,0.284900284900285,"Strain fitness"
"dnf2",351,4,1.13960113960114,"Strain fitness"
"dnf3",351,306,87.1794871794872,"Strain fitness"
"dnf4",351,306,87.1794871794872,"Strain fitness"
"dnf5dnf2",351,303,86.3247863247863,"Strain fitness"
"dnf6",351,243,69.2307692307692,"Strain fitness"
"dnf7",351,1,0.284900284900285,"Strain fitness"
"hcl",351,311,88.6039886039886,"Strain fitness"
"ipd3",351,2,0.56980056980057,"Strain fitness"
"latd",351,1,0.284900284900285,"Strain fitness"
"nad1",351,305,86.8945868945869,"Strain fitness"
"rdn1",351,27,7.69230769230769,"Strain fitness"
"sunn1",351,250,71.2250712250712,"Strain fitness"
"sunn4",351,273,77.7777777777778,"Strain fitness"
"dnf1",3510,755,21.5099715099715,"Strain fitness"
"dnf1dnf2",3510,1272,36.2393162393162,"Strain fitness"
"dnf2",3510,787,22.4216524216524,"Strain fitness"
"dnf3",3510,1577,44.9287749287749,"Strain fitness"
"dnf4",3510,1444,41.1396011396011,"Strain fitness"
"dnf5dnf2",3510,1545,44.017094017094,"Strain fitness"
"dnf6",3510,1284,36.5811965811966,"Strain fitness"
"dnf7",3510,1429,40.7122507122507,"Strain fitness"
"hcl",3510,1345,38.3190883190883,"Strain fitness"
"ipd3",3510,892,25.4131054131054,"Strain fitness"
"latd",3510,160,4.55840455840456,"Strain fitness"
"nad1",3510,1659,47.2649572649573,"Strain fitness"
"rdn1",3510,1538,43.8176638176638,"Strain fitness"
"sunn1",3510,1010,28.7749287749288,"Strain fitness"
"sunn4",3510,1746,49.7435897435897,"Strain fitness"
"dnf1",35100,13584,38.7008547008547,"Strain fitness"
"dnf1dnf2",35100,11769,33.5299145299145,"Strain fitness"
"dnf2",35100,13468,38.3703703703704,"Strain fitness"
"dnf3",35100,15148,43.1566951566952,"Strain fitness"
"dnf4",35100,20033,57.0740740740741,"Strain fitness"
"dnf5dnf2",35100,14424,41.0940170940171,"Strain fitness"
"dnf6",35100,18707,53.2962962962963,"Strain fitness"
"dnf7",35100,12690,36.1538461538462,"Strain fitness"
"hcl",35100,17068,48.6267806267806,"Strain fitness"
"ipd3",35100,9370,26.6951566951567,"Strain fitness"
"latd",35100,9521,27.1253561253561,"Strain fitness"
"nad1",35100,14415,41.0683760683761,"Strain fitness"
"rdn1",35100,13175,37.5356125356125,"Strain fitness"
"sunn1",35100,15993,45.5641025641026,"Strain fitness"
"sunn4",35100,14385,40.982905982906,"Strain fitness"
