"comparison","diff","lwr","upr","p adj","trait","Signif"
"Late-Early",248.065204678362,101.183770425927,394.946638930798,0.000202863148005439,"nodule_number_per_plant","***"
"AON-Early",431.859401709401,258.027161873752,605.69164154505,7.38145723433448e-08,"nodule_number_per_plant","***"
"AON-Late",183.794197031039,51.0059316173307,316.582462444747,0.0029228347465009,"nodule_number_per_plant","**"
"Late-Early",0.178825396825397,-0.415532394438283,0.773183188089078,0.855643802507067,"total_nodulated_area_per_plant",""
"AON-Early",2.17371111111111,1.43241670442165,2.91500551780058,1.13562226289332e-09,"total_nodulated_area_per_plant","***"
"AON-Late",1.99488571428571,1.40052792302203,2.5892435055494,2.37669883773606e-11,"total_nodulated_area_per_plant","***"
"Late-Early",-0.0049095659496378,-0.00884688622113617,-0.000972245678139433,0.0088479852461778,"average_area_per_nodule","**"
"AON-Early",6.01478234715002e-05,-0.00485055333584405,0.00497084898278705,0.999987589177249,"average_area_per_nodule",""
"AON-Late",0.0049697137731093,0.00103239350161093,0.00890703404460768,0.00787656228242595,"average_area_per_nodule","**"
"Late-Early",-0.372491559591212,-0.675013906269005,-0.06996921291342,0.00949260711288924,"root_to_shoot_ratio","**"
"AON-Early",-1.07375022637015,-1.48555206067614,-0.661948392064149,7.95684018672915e-09,"root_to_shoot_ratio","***"
"AON-Late",-0.701258666778933,-1.08602702196427,-0.316490311593592,4.45422131725159e-05,"root_to_shoot_ratio","***"
"Late-Early",0.140615384615385,-0.137781697811567,0.419012467042337,0.550085660500989,"total_biomass_per_plant",""
"AON-Early",0.536673076923077,0.157711223467138,0.915634930379016,0.00206663375543736,"total_biomass_per_plant","**"
"AON-Late",0.396057692307692,0.0419734778020287,0.750141906813356,0.0221398210465515,"total_biomass_per_plant","*"
"Late-Early",0.257670618363136,-0.139441109716867,0.654782346443139,0.324951300719338,"cfu_per_nodule_LOG10",""
"AON-Early",0.536421914360429,0.0549463642264768,1.01789746449438,0.0232240321147715,"cfu_per_nodule_LOG10","*"
"AON-Late",0.278751295997293,-0.0880127344650832,0.645515326459669,0.196218664353351,"cfu_per_nodule_LOG10",""
"Late-Early",0.94617009052367,0.463515777180854,1.42882440386649,1.55965766892585e-05,"cfu_per_plant_LOG10","***"
"AON-Early",1.40135900570525,0.81334617509489,1.98937183631562,2.20770605685594e-07,"cfu_per_plant_LOG10","***"
"AON-Late",0.455188915181584,0.00979102868886145,0.900586801674306,0.0433537280522148,"cfu_per_plant_LOG10","*"
"Late-Early",0.168861486407156,-0.0166995153959995,0.354422488210312,0.0867971685685524,"nodule_isolate_diversity",""
"AON-Early",0.311884578636066,0.0893945281882638,0.534374629083869,0.00264063543262083,"nodule_isolate_diversity","**"
"AON-Late",0.14302309222891,-0.0286821876414657,0.314728372099286,0.134024138927525,"nodule_isolate_diversity",""
