"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"833A"	833	"dnf1"	"Late"	"A"	"A17"	"5/10/21"	3	10	"F"	1.703	0.834	NA	3	NA	NA	3.1e+08	0.567666666666667	0.278	0.489724016441574	0.845666666666667	NA	8.01424043911461	NA	NA	NA
"833B"	833	"dnf1"	"Late"	"B"	"A17"	"5/11/21"	2	8	"F"	1.718	0.922	221	1	NA	NA	1.36e+08	0.859	0.461	0.536670547147846	1.32	221	8.13353890837022	5.78914663468511	NA	NA
"833C"	833	"dnf1"	"Late"	"C"	"A17"	"5/12/21"	2	10	"F"	2.384	1.252	236	1	1.062	0.005	8.5e+07	1.192	0.626	0.525167785234899	1.818	236	7.92941892571429	5.55650692274419	1.062	0.0045
"833D"	833	"dnf1"	"Late"	"D"	"A17"	"5/13/21"	1	1	"F"	0.826	0.46	294	1	2.016	0.007	2.24e+08	0.826	0.46	0.556900726392252	1.286	294	8.35024801833416	5.88190068792201	2.016	0.00685714285714286
"833E"	833	"dnf1"	"Late"	"E"	"A17"	"5/14/21"	1	2	"F"	0.753	0.334	259	1	1.738	0.007	9.5e+07	0.753	0.334	0.443559096945551	1.087	259	7.97772360528885	5.5644238412076	1.738	0.00671042471042471
"834A"	834	"dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.177	0.198	354	2	0.307	0.000868	9.2e+07	0.059	0.066	1.11864406779661	0.125	177	7.66275783168157	5.41478456531977	0.1535	0.000867231638418079
"834B"	834	"dnf2"	"Late"	"B"	"A17"	"5/7/21"	2	0	"N"	0.212	0.167	573	2	0.784	0.001	1.46e+08	0.106	0.0835	0.787735849056604	0.1895	286.5	7.86332286012046	5.40619823381705	0.392	0.00136823734729494
"834C"	834	"dnf2"	"Late"	"C"	"A17"	"5/7/21"	2	0	"N"	0.212	0.296	436	1	0.314	0.00072	2.68e+08	0.106	0.148	1.39622641509434	0.254	436	8.42813479402879	5.7886483047602	0.314	0.000720183486238532
"834D"	834	"dnf2"	"Late"	"D"	"A17"	"5/13/21"	2	0	"N"	0.141	0.179	467	1	1.184	0.003	1.59e+08	0.0705	0.0895	1.26950354609929	0.16	467	8.20139712432045	5.53208024375434	1.184	0.00253533190578158
"834E"	834	"dnf2"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.254	0.329	357	1	0.595	0.002	2.28e+08	0.127	0.1645	1.29527559055118	0.2915	357	8.35793484700045	5.80526663088826	0.595	0.00166666666666667
