"sample_id"	"genotype_id"	"geno"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"nodule_isolate_diversity"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"841A"	"841"	"sunn1"	"AON"	"A"	"A17"	"5/10/21"	3	15	"F"	1.954	0.767	191	1	1.035	0.005	4.18e+08	4.21799686385712	0.651333333333333	0.255666666666667	0.392528147389969	0.907	191	8.62117628177504	6.34014291452731	1.035	0.00541884816753927
"841B"	"841"	"sunn1"	"AON"	"B"	"A17"	"5/11/21"	2	5	"F"	1.645	0.535	613	1	1.882	0.003	1.85e+08	4.22106795114613	0.8225	0.2675	0.325227963525836	1.09	613	8.26717172840301	5.4797112538846	1.882	0.00307014681892333
"841C"	"841"	"sunn1"	"AON"	"C"	"A17"	"5/12/21"	2	15	"F"	2.089	0.941	524	1	2.593	0.005	NA	NA	1.0445	0.4705	0.450454763044519	1.515	524	NA	NA	2.593	0.00494847328244275
"841D"	"841"	"sunn1"	"AON"	"D"	"A17"	"5/13/21"	1	10	"F"	1.198	0.39	600	1	3.318	0.006	3.24e+08	4.21013516787191	1.198	0.39	0.325542570951586	1.588	600	8.51054501020661	5.73239375982297	3.318	0.00553
"841E"	"841"	"sunn1"	"AON"	"E"	"A17"	"5/14/21"	2	5	"F"	2.348	0.564	147	1	3.36	0.023	6.31e+08	4.15631583022668	1.174	0.282	0.240204429301533	1.456	147	8.80002935924413	6.63271202449596	3.36	0.0228571428571429
"842A"	"842"	"sunn4"	"AON"	"A"	"A17"	"5/10/21"	2	1	"F"	0.456	0.04	640	2	5.833	0.009	7.2e+08	4.06489750436938	0.228	0.02	0.087719298245614	0.248	320	8.55630250076729	6.05115252244738	2.9165	0.0091140625
"842B"	"842"	"sunn4"	"AON"	"B"	"A17"	"5/11/21"	3	5	"N"	0.379	0.033	807	2	5.205	0.006	3.08e+08	4.09860133025939	0.126333333333333	0.011	0.0870712401055409	0.137333333333333	403.5	8.18752072083646	5.58167718177837	2.6025	0.00644981412639405
"842C"	"842"	"sunn4"	"AON"	"C"	"A17"	"5/12/21"	2	15	"N"	0.525	0.082	902	2	5.428	0.006	1.27e+09	4.1340163988838	0.2625	0.041	0.156190476190476	0.3035	451	8.80277372529198	6.14859718341402	2.714	0.00601773835920177
"842D"	"842"	"sunn4"	"AON"	"D"	"A17"	"5/13/21"	3	10	"F"	0.888	0.072	754	1	3.618	0.005	1.88e+09	NA	0.296	0.024	0.0810810810810811	0.32	754	9.27415784926368	6.39678650339391	3.618	0.00479840848806366
"842E"	"842"	"sunn4"	"AON"	"E"	"A17"	"5/14/21"	3	5	"F"	0.937	0.096	889	2	NA	NA	1.74e+09	4.23671521948908	0.312333333333333	0.032	0.102454642475987	0.344333333333333	444.5	8.93951925261862	6.29164748731239	NA	NA
"843A"	"843"	"rdn1"	"AON"	"A"	"A17"	"5/10/21"	2	5	"F"	1.002	0.441	908	1	3.398	0.004	NA	4.18675036040644	0.501	0.2205	0.440119760479042	0.7215	908	NA	NA	3.398	0.00374229074889868
"843B"	"843"	"rdn1"	"AON"	"B"	"A17"	"5/11/21"	1	3	"N"	0.882	0.325	758	1	NA	NA	2.38e+08	4.14496208210757	0.882	0.325	0.368480725623583	1.207	758	8.37657695705651	5.49690775142446	NA	NA
"843C"	"843"	"rdn1"	"AON"	"C"	"A17"	"5/12/21"	1	5	"F"	1.199	0.377	726	1	NA	NA	3.32e+08	4.24802896158832	1.199	0.377	0.31442869057548	1.576	726	8.52113808370404	5.66020146300394	NA	NA
NA	"853"	"skl1"	"Early"	NA	"A17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"848A"	"848"	"dmi1-2"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.221	0.49	0	0	0	0	NA	NA	0.0736666666666667	0.163333333333333	2.21719457013575	0.237	NA	NA	NA	NA	NA
"848B"	"848"	"dmi1-2"	"Early"	"B"	"A17"	"5/6/21"	2	0	"N"	0.432	0.919	0	0	0	0	NA	NA	0.216	0.4595	2.12731481481481	0.6755	NA	NA	NA	NA	NA
"848C"	"848"	"dmi1-2"	"Early"	"C"	"A17"	"5/7/21"	2	0	"N"	0.237	0.386	0	0	0	0	NA	NA	0.1185	0.193	1.62869198312236	0.3115	NA	NA	NA	NA	NA
"848E"	"848"	"dmi1-2"	"Early"	"E"	"A17"	"5/6/21"	3	0	"N"	0.231	0.51	0	0	0	0	NA	NA	0.077	0.17	2.20779220779221	0.247	NA	NA	NA	NA	NA
"848F"	"848"	"dmi1-2"	"Early"	"F"	"A17"	"5/7/21"	2	0	"N"	0.237	0.495	0	0	0	0	NA	NA	0.1185	0.2475	2.08860759493671	0.366	NA	NA	NA	NA	NA
"849A"	"849"	"dmi2-3"	"Early"	"A"	"A17"	"5/6/21"	1	0	"N"	0.111	0.257	0	0	0	0	NA	NA	0.111	0.257	2.31531531531532	0.368	NA	NA	NA	NA	NA
"850A"	"850"	"dmi3-1"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.348	0.597	0	0	0	0	NA	NA	0.116	0.199	1.71551724137931	0.315	NA	NA	NA	NA	NA
"850B"	"850"	"dmi3-1"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.288	0.547	0	0	0	0	NA	NA	0.096	0.182333333333333	1.89930555555556	0.278333333333333	NA	NA	NA	NA	NA
"850C"	"850"	"dmi3-1"	"Early"	"C"	"A17"	"5/7/21"	3	0	"N"	0.188	0.297	0	0	0	0	NA	NA	0.0626666666666667	0.099	1.57978723404255	0.161666666666667	NA	NA	NA	NA	NA
"850D"	"850"	"dmi3-1"	"Early"	"D"	"A17"	"5/7/21"	2	0	"N"	0.083	0.203	0	0	0	0	NA	NA	0.0415	0.1015	2.44578313253012	0.143	NA	NA	NA	NA	NA
"850E"	"850"	"dmi3-1"	"Early"	"E"	"A17"	"5/7/21"	3	0	"N"	0.271	0.528	0	0	0	0	NA	NA	0.0903333333333333	0.176	1.94833948339483	0.266333333333333	NA	NA	NA	NA	NA
"850F"	"850"	"dmi3-1"	"Early"	"F"	"A17"	"5/7/21"	3	0	"N"	0.144	0.297	0	0	0	0	NA	NA	0.048	0.099	2.0625	0.147	NA	NA	NA	NA	NA
"847B"	"847"	"ipd3"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.236	0.286	47	1	0.016	0.00035	7900000	3.60454825528443	0.0786666666666667	0.0953333333333333	1.21186440677966	0.174	47	6.89762709129044	5.22552923335472	0.016	0.000340425531914894
"847A"	"847"	"ipd3"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.226	0.241	313	2	0.342	0.001	3.1e+07	3.82736282758296	0.0753333333333333	0.0803333333333333	1.06637168141593	0.155666666666667	156.5	7.19033169817029	4.99581735628782	0.171	0.0010926517571885
"847C"	"847"	"ipd3"	"Early"	"C"	"A17"	"5/8/21"	3	0	"N"	0.332	0.438	202	2	0.126	0.000622	9500000	3.49362934177983	0.110666666666667	0.146	1.31927710843373	0.256666666666667	101	6.67669360962487	4.67237223584222	0.063	0.000623762376237624
"847E"	"847"	"ipd3"	"Early"	"E"	"A17"	"5/14/21"	3	0	"N"	0.213	0.196	234	2	0.242	0.001	4.9e+07	4.203578882505	0.071	0.0653333333333333	0.92018779342723	0.136333333333333	117	7.38916608436453	5.32098022261837	0.121	0.00103418803418803
"845A"	"845"	"hcl"	"Early"	"A"	"A17"	"5/10/21"	2	10	"F"	1.068	0.419	320	2	1.526	0.005	1.26e+08	3.73925646296684	0.534	0.2095	0.392322097378277	0.7435	160	7.79934054945358	5.59522056679766	0.763	0.00476875
"845B"	"845"	"hcl"	"Early"	"B"	"A17"	"5/11/21"	3	2	"F"	1.514	0.849	121	3	2.361	0.02	2.43e+08	4.0944968995683	0.504666666666667	0.283	0.560766182298547	0.787666666666667	40.3333333333333	7.90848501887865	6.30282090328186	0.787	0.0195123966942149
"845C"	"845"	"hcl"	"Early"	"C"	"A17"	"5/12/21"	2	5	"F"	0.614	NA	316	2	2.127	0.007	1.79e+08	4.01540480837467	0.307	NA	NA	NA	158	7.95182303531591	5.75316594836149	1.0635	0.00673101265822785
"845D"	"845"	"hcl"	"Early"	"D"	"A17"	"5/13/21"	2	4	"F"	1.083	0.569	102	2	1.956	0.019	2.22e+08	NA	0.5415	0.2845	0.52539242843952	0.826	51	8.04532297878666	6.33775280268872	0.978	0.0191764705882353
