sample_id	genotype_id	rep	date_nod_picked		batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity
833A	833	A	5/10/21						NA	NA	NA	NA	NA	NA
833B	833	B	5/11/21	Y	6			833_B_0073_cropped.tif	221	NA	NA	2.389	0.774	0.939
833C	833	C	5/12/21	y	8	1		833_C_0098_cropped.tif	236	1.062	0.005	2.094	0.805	0.935
833D	833	D	5/13/21	y	7	1		833_D_0124_cropped.tif	294	2.016	0.007	4.439	0.767	0.938
833E	833	E	5/14/21	Y	11	1		833_E_0150_cropped.tif	259	1.738	0.007	5.491	0.778	0.933
834A	834	A	5/6/21	y	1	1		834_A_0008_cropped.tif	354	0.307	8.68E-04	0.41	0.907	0.931
834B	834	B	5/7/21	y	2	1		834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937
834C	834	C	5/7/21	y	2			834_C_0022_cropped.tif	436	0.314	7.20E-04	0.419	0.909	0.924
834D	834	D	5/14/21	Y	10	1		834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939
834E	834	E	5/14/21	Y	11			834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931
836A	836	A	5/10/21	Y	5	1		836_A_0050_cropped.tif	281	1.037	0.004	1.811	0.837	0.95
836B	836	B	5/11/21	Y	6	1		836_B_0083_cropped.tif	432	1.515	0.004	2.028	0.851	0.944
836C	836	C	5/12/21	manual count					489	NA	NA	NA	NA	NA
836D	836	D	5/13/21	Y	7			836_D_0123_cropped.tif	269	0.891	0.003	1.829	0.848	0.941
836E	836	E	5/14/21	Y	11			836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919
837A	837	A	5/10/21	Y	5			837_A_0048_cropped.tif	310	1.09	0.004	2.208	0.846	0.95
837B	837	B	5/11/21	manual count					685	NA	NA	NA	NA	NA
837C	837	C	5/12/21						NA	NA	NA	NA	NA	NA
839A	839	A	5/10/21	Y	5			839_A_0054_cropped.tif	425	1.674	0.004	2.935	0.833	0.947
839B	839	B	5/11/21	Y	6			839_B_0080_cropped.tif	630	2.475	0.004	3.435	0.845	0.947
839C	839	C	5/12/21	y	8			839_C_0096_cropped.tif	504	1.62	0.003	2.881	0.784	0.931
