	MAG5	MAG10	MAG16	MAG18	MAG21	MAG24	MAG27	MAG31	MAG34	MAG40	MAG41	MAG42	MAG48	MAG62	MAG66	MAG73	MAG88	MAG97	MAG121	MAG123	MAG144B	MAG145	MAG146	MAG148B	MAG154	MAG157	MAG158B	MAG169	MAG176B	MAG177	MAG182	MAG183	MAG184	MAG191	MAG192D	MAG199	MAG200	MAG201	MAG204	MAG215	MAG220	MAG221	MAG225	MAG230	MAG242	MAG243A	MAG245	MAG248	MAG258	MAG259	MAG278	MAG282	MAG286	MAG313	MAG320	MAG322	MAG325	MAG342	MAG358	MAG373	MAG384	MAG386	MAG406	MAG417	MAG420	MAG513	MAG514	MAG523	MAG530	MAG533	MAG539	MAG540	MAG701B	MAG714A	MAG722B	MAG726B	MAG726A	MAG733A	MAG739A	MAG746B	MAG746A	MAG748A	MAG749C	MAG749B	MAG755A	MAG761A
M_833A_S1	0.000502435	0.000610649	0.000409744	0.000352832	0.000849688	0.000520069	8.11E-05	0.000384429	0.000708743	0.000388081	0.000610855	0.000953333	0.000497477	0.000730046	0.000515848	0.000570685	0.000904866	0.000840473	0.000273064	0.000559488	0.000632432	0.000491186	0.000581337	0.000424988	0.000867731	0.000633323	0.000795023	0.000895475	0.000654175	0.000447839	0.000431798	0.000420115	0.000570451	0.000822309	0.000422083	0.000507685	0.000604347	0.00112929	0.000651941	0.000594783	0.000258762	0.000366009	0.00056232	0.000531557	0.000373803	0.000787625	0.000664081	0.000419016	0.000987324	0.00072226	0.000490305	0.000593923	0.000403315	0.000860896	0.00107951	0.000485594	0.000605881	0.000819639	0.00052355	0.000959837	0.000643439	0.000807249	0.000578011	0.000125307	0.00141523	0.0012163	0.00119266	0.000525678	0.000577946	0.00126585	0.000422899	0.000567383	0.000593309	0.000878042	0.000692719	0.000701085	0.000916083	0.000561191	0.000658306	0.00049	0.000629505	0.000553385	0.000671446	0.0005275	0.00052937	0.000736993
M_833B_S84	0.000493922	0.000426713	0.000596154	0.000406864	0.000855844	0.000755282	0.000109465	0.000438461	0.000655064	0.000400227	0.000511136	0.00102006	0.0006331	0.000702732	0.000699707	0.000854001	0.000737798	0.000632732	0.000287995	0.000673531	0.000686181	0.000718844	0.000512088	0.00045179	0.000943084	0.000774356	0.00056316	0.000796774	0.000642926	0.000534783	0.000825843	0.000446498	0.000510246	0.000641679	0.00073249	0.000512753	0.000685522	0.00109242	0.000719681	0.000477257	0.000248677	0.000401639	0.000727487	0.000517878	0.000455691	0.000713661	0.000675591	0.00049131	0.000955474	0.000598808	0.000588354	0.000807753	0.000609667	0.000740901	0.00100092	0.000467463	0.000765263	0.000764732	0.000574554	0.000854086	0.000834132	0.000834796	0.000567206	0.000260755	0.00125666	0.00116173	0.00102774	0.000886162	0.000806752	0.00099789	0.000427847	0.000639986	0.000558235	0.000842283	0.000629539	0.000872809	0.0008252	0.000698961	0.000589834	0.00069658	0.000736066	0.000545114	0.00067693	0.00053792	0.000655429	0.000650742
M_833C_S47	0.000375178	0.000244555	0.000386234	0.000255069	0.000408358	0.000465436	0.000106193	0.000292825	0.000597203	0.000330249	0.000397811	0.00082745	0.000388339	0.000470274	0.000391523	0.000505241	0.000700366	0.000611545	0.000209536	0.00044478	0.000473872	0.000464419	0.000361684	0.000251766	0.000656396	0.000447541	0.000417412	0.000635999	0.00034361	0.000373687	0.000510004	0.000280855	0.00040272	0.000589671	0.000460743	0.000428884	0.00041326	0.000820561	0.000477493	0.000332692	0.000190346	0.000265003	0.000468157	0.000406126	0.0002638	0.000452234	0.000567878	0.000301085	0.000550864	0.000452404	0.000401973	0.000568208	0.000399269	0.000656379	0.000673223	0.000355877	0.000304975	0.000569844	0.000307708	0.000522016	0.000377747	0.000600155	0.000435051	0.000192731	0.000551364	0.000597175	0.000613019	0.000534006	0.000364495	0.000586379	0.000318829	0.000495515	0.000312267	0.000468691	0.000333865	0.00037662	0.000475846	0.00041284	0.000351639	0.00040474	0.000431212	0.000442317	0.000494478	0.000332758	0.000458078	0.000456957
M_833E_S128	0.000764492	0.000489485	0.000755941	0.000499294	0.00116904	0.00104648	7.37E-05	0.000569782	0.000623826	0.000516822	0.00112087	0.000856579	0.00092309	0.00111999	0.000762329	0.000891539	0.00103873	0.00116207	0.00025205	0.00103674	0.00103982	0.000811309	0.000741569	0.000464602	0.000760733	0.00095246	0.00075364	0.00124604	0.000912715	0.000668209	0.000744638	0.000638632	0.000779873	0.00107825	0.000915492	0.000848481	0.00136638	0.00107379	0.000787032	0.00064573	0.000390966	0.000425405	0.000909204	0.00127818	0.000851624	0.00130426	0.0008624	0.000692341	0.00126141	0.000829736	0.000708926	0.00118511	0.000516578	0.00109726	0.00136448	0.000551368	0.00115432	0.00110874	0.00065645	0.00122863	0.00111785	0.00112492	0.000777815	0.000329371	0.00157551	0.00140951	0.00150745	0.00095084	0.00115821	0.00142218	0.000959033	0.00116	0.000831978	0.00107714	0.000884475	0.000927201	0.00110344	0.000799743	0.0010239	0.000734949	0.000866598	0.000820327	0.00104536	0.000752163	0.000904198	0.0010948
M_834B_S61	0.000521388	0.000406544	0.000509721	0.000459818	0.000650367	0.000615394	7.06E-05	0.000610871	0.00056988	0.000351357	0.000472068	0.00108302	0.000721784	0.000632745	0.000512181	0.000672416	0.000740102	0.00067745	0.000218977	0.000577893	0.000620529	0.000399741	0.000533549	0.000415949	0.000592937	0.000643213	0.000570069	0.000829271	0.00074761	0.000557096	0.000580344	0.000360529	0.000521328	0.000646735	0.000454883	0.000579279	0.000447451	0.00100051	0.000581226	0.000426893	0.000265668	0.000389062	0.000554392	0.000503724	0.000322717	0.000882168	0.000630614	0.000381109	0.000869182	0.000683283	0.000603849	0.000573588	0.000325843	0.000850566	0.000955002	0.000635191	0.000475542	0.000821118	0.000312294	0.000832727	0.0005412	0.000890307	0.000599803	0.000143736	0.000899667	0.000938015	0.000984655	0.000664169	0.000559172	0.000925164	0.000413605	0.000543716	0.00052253	0.000759905	0.000654097	0.000660898	0.000798908	0.000632953	0.000592183	0.000708483	0.000735076	0.00065141	0.000741501	0.000435792	0.00065393	0.000627656
M_834C_S58	0.000409797	0.000430517	0.000429717	0.000398937	0.000680104	0.000516494	0	0.000379453	0.000622712	0.000324031	0.000468706	0.000863356	0.000426561	0.000583363	0.000414493	0.000491232	0.000619444	0.000608908	0.000264057	0.000466772	0.000498401	0.000399091	0.00046273	0.000467401	0.000468614	0.000543652	0.000463098	0.000743673	0.000777543	0.000440739	0.000483062	0.000427433	0.000459033	0.00058698	0.000551217	0.000448998	0.000425931	0.000825059	0.000459654	0.000398248	0.00032016	0.00042841	0.000490291	0.00043368	0.000311618	0.000538045	0.000511575	0.000326753	0.000567618	0.000517001	0.00041032	0.000696202	0.000338967	0.00070706	0.000705709	0.000649266	0.000427774	0.000700633	0.000324896	0.000655136	0.00109117	0.000666552	0.000493609	0.000148166	0.000727944	0.00070872	0.000726128	0.000478798	0.00103648	0.00072631	0.000332655	0.000405208	0.00052425	0.000613942	0.000567747	0.00054994	0.000654955	0.000483483	0.000520127	0.00054196	0.000560176	0.000569438	0.000572208	0.000346212	0.000461648	0.000541787
M_834D_S173	0.000686365	0.000406446	0.000486869	0.000368608	0.000938329	0.000569016	0.000151984	0.000649809	0.000750711	0.000503472	0.000619542	0.000985552	0.000625371	0.000778475	0.000706887	0.00100336	0.000851266	0.000854127	0.000437456	0.000699448	0.000714329	0.000501905	0.000558195	0.000523028	0.000628952	0.0007415	0.000787435	0.00105421	0.000805618	0.000509482	0.000628432	0.000495213	0.00061703	0.000807498	0.000719724	0.000623397	0.00069046	0.00107616	0.0004981	0.00047308	0.000122926	0.000533484	0.000530255	0.000582029	0.000404997	0.00100035	0.000811446	0.000489175	0.000947564	0.000845738	0.000624956	0.000882837	0.000518189	0.00108291	0.000971251	0.000728553	0.00059259	0.000904394	0.000499924	0.000908571	0.000726124	0.000966593	0.000738664	0.000213459	0.00120743	0.000959797	0.00097805	0.000963683	0.000713559	0.00106257	0.000691201	0.000777496	0.00068944	0.000814048	0.00075853	0.000689299	0.000793106	0.000695049	0.000728526	0.000876049	0.000899434	0.000718981	0.000796108	0.000549605	0.000658943	0.00078843
M_834E_S140	0.000710541	0.000437932	0.000606199	0.000448607	0.000726916	0.00071278	0.000143834	0.00052514	0.000728471	0.000430768	0.000583833	0.00105202	0.000613814	0.000615517	0.000643987	0.000624915	0.000854519	0.00093202	0.00018457	0.000652342	0.000839396	0.000399687	0.000551632	0.000449907	0.000604129	0.00071927	0.000710721	0.00100929	0.000765038	0.000541943	0.000777031	0.000448704	0.00069581	0.000884573	0.000795297	0.000610354	0.000732705	0.00127763	0.000688358	0.000473158	0.000315892	0.00032292	0.000696577	0.000583271	0.000426099	0.00107867	0.000712187	0.000760306	0.000958636	0.000760919	0.000714082	0.000825751	0.000382028	0.000971325	0.00116743	0.000564098	0.000611196	0.00100438	0.00037432	0.00102044	0.000551864	0.00103896	0.000661158	0.000137861	0.0011395	0.00121683	0.00121765	0.000641703	0.000601607	0.00127155	0.000452458	0.000920484	0.000603324	0.000952674	0.000760344	0.000731968	0.000920873	0.000663258	0.000730818	0.000760202	0.000812682	0.000735129	0.000862611	0.000618219	0.000675006	0.000787507
M_836A_S9	0.000457173	0.000420092	0.000637883	0.000445094	0.000476781	0.000426283	0	0.000350421	0.000855162	0.000525329	0.000409061	0.00110506	0.000454156	0.000464674	0.000642744	0.000683434	0.00094561	0.000646972	0.000199812	0.000555243	0.000583582	0.000481049	0.000529381	0.000296688	0.000539889	0.000539984	0.000540445	0.00080607	0.000706171	0.000370566	0.000602484	0.000482909	0.000518802	0.000654289	0.000497577	0.000495956	0.000727248	0.00119837	0.000601824	0.000457458	0.000183302	0.000253661	0.000554777	0.000492501	0.000312178	0.000802218	0.00065711	0.000374567	0.00068701	0.000733641	0.000491369	0.000654345	0.00036821	0.000609857	0.000805608	0.000422417	0.000403109	0.000719269	0.00039634	0.000730744	0.000417708	0.000712651	0.000547786	0.000127455	0.00105521	0.000774542	0.000937573	0.000621177	0.000457278	0.000749926	0.000542869	0.00056699	0.000554298	0.000664103	0.000637081	0.000574712	0.000688005	0.000525778	0.000504733	0.000497678	0.000562821	0.000646743	0.000587854	0.000384882	0.000544404	0.000567963
M_836B_S172	0.000505138	0.000356633	0.000300417	0.000385491	0.000739044	0.000441091	0	0.000368743	0.000806042	0.000331362	0.000477985	0.00112527	0.000484022	0.000668608	0.000508226	0.000511742	0.000867919	0.000601301	0.000281967	0.000522869	0.000573246	0.000324188	0.000500765	0.000393253	0.000606559	0.00058879	0.000514922	0.000796225	0.000603279	0.000385296	0.000643392	0.000396247	0.000491912	0.000572199	0.000377986	0.000499931	0.000568659	0.00112137	0.000354002	0.0004186	0.0002464	0.000356286	0.00052517	0.000476104	0.000355477	0.000877652	0.000597739	0.000368668	0.000901122	0.000575823	0.000554546	0.00068156	0.000287371	0.000873377	0.000840575	0.000476673	0.000474056	0.000705222	0.000440891	0.000758086	0.000633083	0.000774648	0.000578306	0.000105664	0.000875122	0.000814543	0.00104071	0.000475155	0.000622309	0.000852621	0.0003809	0.00067901	0.000471528	0.00069554	0.000634301	0.000568502	0.000896145	0.00057826	0.000566249	0.000561941	0.00063446	0.000639274	0.000694529	0.000646495	0.000537168	0.000671842
