"Response"	"Predictor"	"Sum.Sq"	"PctExp"	"Df"	"Fval"	"Pval"	"R.adj"
"nodules_perplant"	"Genotype"	1633492.94541874	57.5579366001038	14	5.25866607993851	7.01995566972326e-06	"0.4840049660259"
"nodules_perplant"	"Replicate"	139491.898555218	4.9151518381435	4	1.57172065600613	0.197031354480906	"NA"
"nodules_perplant"	"Residual"	1065012.90561145	37.5269115617527	48	NA	NA	"NA"
"nodules_perplant"	"Type"	1011806.46962339	35.6521237471455	3	11.6954004261164	4.08573466997205e-06	"0.329354537801276"
"nodules_perplant"	"Replicate"	124765.091524301	4.39623645024128	4	1.08161324451766	0.373871217275544	"NA"
"nodules_perplant"	"Residual"	1701426.18843771	59.9516398026132	59	NA	NA	"NA"
"average_size"	"Genotype"	0.00104016552732843	64.6066496363039	18	6.65722157951645	9.42912755063344e-09	"0.547111817292627"
"average_size"	"Replicate"	4.03311145125548e-05	2.50504185756537	5	0.929251519779456	0.468431121172198	"NA"
"average_size"	"Residual"	0.000529500987170779	32.8883085061307	61	NA	NA	"NA"
"average_size"	"Type"	0.000146872431109699	9.12252468345876	3	2.73474251952147	0.0494049978272732	"0.0659790115029135"
"average_size"	"Replicate"	0.000102569961634297	6.37081445251914	5	1.14590233110865	0.343756674037503	"NA"
"average_size"	"Residual"	0.00136055523626777	84.5066608640221	76	NA	NA	"NA"
"total_area"	"Genotype"	100.356539269608	69.6305649366771	18	7.927417554342	3.80802428311909e-10	"0.590102786760384"
"total_area"	"Replicate"	0.869216081668157	0.603089816160369	5	0.247181697855831	0.939661804142012	"NA"
"total_area"	"Residual"	42.9013810016652	29.7663452471626	61	NA	NA	"NA"
"total_area"	"Type"	52.5106769226706	36.433580969847	3	14.9567941021438	9.62323657738262e-08	"0.317941893036092"
"total_area"	"Replicate"	2.67557591230372	1.85639982865664	5	0.457256013864547	0.806769053246215	"NA"
"total_area"	"Residual"	88.9408835179669	61.7100192014964	76	NA	NA	"NA"
"total_nodulated_area_perplant"	"Genotype"	37.9665072038972	59.9286018029125	14	5.80331075510411	2.01335657601822e-06	"0.513173491341807"
"total_nodulated_area_perplant"	"Replicate"	2.95594110701076	4.6658339310371	4	1.5813900536005	0.19446638223916	"NA"
"total_nodulated_area_perplant"	"Residual"	22.4304517429892	35.4055642660504	48	NA	NA	"NA"
"total_nodulated_area_perplant"	"Type"	21.9372576238224	34.6270772216574	3	11.8602946430875	3.51425233687947e-06	"0.357692433618877"
"total_nodulated_area_perplant"	"Replicate"	5.03941854596104	7.95451911699983	4	2.04340680851669	0.0998937497343914	"NA"
"total_nodulated_area_perplant"	"Residual"	36.3762238841137	57.4184036613428	59	NA	NA	"NA"
"total_biomass"	"Genotype"	15.2699143221162	80.4905131712443	18	16.8374299876242	6.2892013930573e-17	"0.782223887662016"
"total_biomass"	"Replicate"	0.728532844912063	3.84022996541291	5	2.89195039605759	0.0211245437645973	"NA"
"total_biomass"	"Residual"	2.97262621851386	15.6692568633428	59	NA	NA	"NA"
"total_biomass"	"Type"	5.0465384941604	26.6012280465182	3	9.78252767400991	1.63597659143829e-05	"0.25673582789523"
"total_biomass"	"Replicate"	1.19967614279099	6.32371251963667	5	1.3953166211195	0.235936045574997	"NA"
"total_biomass"	"Residual"	12.7248587485908	67.0750594338451	74	NA	NA	"NA"
"ratio"	"Genotype"	25.369313039345	89.13523006561	18	34.8967365941703	7.66563696894573e-25	"0.883639408107592"
"ratio"	"Replicate"	0.709400679216807	2.49248344457035	5	3.51293576512141	0.00758280942189788	"NA"
"ratio"	"Residual"	2.38288672906293	8.37228648981963	59	NA	NA	"NA"
"ratio"	"Type"	11.37806594042	39.9769013740389	3	17.0544416723441	1.6204096213752e-08	"0.359285990193187"
"ratio"	"Replicate"	0.626885544089407	2.20256603363892	5	0.563778572011713	0.727405282193552	"NA"
"ratio"	"Residual"	16.4566489631154	57.8205325923221	74	NA	NA	"NA"
"Nodule_weight_perplant"	"Genotype"	0.0987815575396826	87.7358156401235	14	12.4205911414703	9.23453946312166e-08	"0.793133354105672"
"Nodule_weight_perplant"	"Replicate"	0.000174421020723105	0.154917283135336	3	0.10234626565163	0.957883215598571	"NA"
"Nodule_weight_perplant"	"Residual"	0.0136337965718695	12.1092670767411	24	NA	NA	"NA"
"Nodule_weight_perplant"	"Type"	0.0595133684656085	52.8585907518598	3	13.1312874975561	6.6746868937313e-06	"0.449862977708879"
"Nodule_weight_perplant"	"Replicate"	0.000200964542047459	0.17849271109331	3	0.0443416873633169	0.987377726604172	"NA"
"Nodule_weight_perplant"	"Residual"	0.0528754421246192	46.9629165370469	35	NA	NA	"NA"
"log_CFUpernodule"	"Genotype"	5.92993431239459	57.4530542080056	14	5.11610000440844	1.84030350302313e-05	"0.518720558697058"
"log_CFUpernodule"	"Replicate"	0.91420223633564	8.8573849007885	4	2.76057446277241	0.0399284876184926	"NA"
"log_CFUpernodule"	"Residual"	3.47721954650118	33.6895608912059	42	NA	NA	"NA"
"log_CFUpernodule"	"Type"	1.09172048423576	10.5772969575204	3	2.37098634078042	0.080795290405072	"0.107772425712177"
"log_CFUpernodule"	"Replicate"	1.09502025854424	10.609267313722	4	1.7836145652958	0.145868267586765	"NA"
"log_CFUpernodule"	"Residual"	8.13461535245142	78.8134357287576	53	NA	NA	"NA"
"log_CFUperplant"	"Genotype"	12.0198310768308	74.5869642352478	14	13.570816810628	1.74186431804245e-11	"0.760525793702361"
"log_CFUperplant"	"Replicate"	1.37495883656552	8.53206712409892	4	5.43332100997933	0.00124483164092909	"NA"
"log_CFUperplant"	"Residual"	2.72040018727618	16.8809686406532	43	NA	NA	"NA"
"log_CFUperplant"	"Type"	6.05644143222941	37.5821904327189	3	12.4829872944787	2.59309258602505e-06	"0.387829862004841"
"log_CFUperplant"	"Replicate"	1.32558702945404	8.22569899066046	4	2.04913473921467	0.100400344439806	"NA"
"log_CFUperplant"	"Residual"	8.73316163898908	54.1921105766206	54	NA	NA	"NA"
