"Genotype"	"Response"	"Coefficient"	"Pvalue"
"(Intercept)"	"log_CFUperplant"	7.97009469619929	1.50222356201434e-43
"hcl"	"log_CFUperplant"	-0.19036602115697	0.26761867986442
"ipd3"	"log_CFUperplant"	-0.23276031862545	0.283302981522952
"latd"	"log_CFUperplant"	-0.389475766634093	0.0185072769292659
"nad1"	"log_CFUperplant"	-0.41426052667282	0.0188270253074368
"dnf1"	"log_CFUperplant"	-0.598784356035831	0.000502016554625248
"dnf2"	"log_CFUperplant"	-0.111832908879648	0.485842536080506
"dnf3"	"log_CFUperplant"	-0.176006846777931	0.416070055353857
"dnf4"	"log_CFUperplant"	-0.620515223227382	0.000332111526930639
"dnf6"	"log_CFUperplant"	-0.649345318325262	0.000190355470726285
"dnf7"	"log_CFUperplant"	-0.789126906141128	0.000112717192602588
"dnf1/dnf2"	"log_CFUperplant"	-1.36778012417916	3.89358748039946e-10
"dnf5/dnf2"	"log_CFUperplant"	-1.67114046300078	1.3338218391882e-12
"rdn1"	"log_CFUperplant"	-0.788078124107167	3.21645849379347e-05
"sunn1"	"log_CFUperplant"	-0.64621945279098	0.000202285097903909
"sunn4"	"log_CFUperplant"	-0.00880659403717446	0.928651501638553
"repB"	"log_CFUperplant"	0.227732896994107	0.0305476108385056
"repC"	"log_CFUperplant"	0.349739025797517	0.00148198819953969
"repD"	"log_CFUperplant"	0.330835282387297	0.00425227700584304
