"group"	"pr"	"Location"	"Pval"	"Beta"	"Br"	"WT"	"hcl"	"ipd3"	"latd"	"nad1"	"dnf1"	"dnf2"	"dnf3"	"dnf4"	"dnf6"	"dnf7"	"dnf1dnf2"	"dnf5dnf2"	"rdn1"	"sunn1"	"sunn4"	"Description"
9034	1	"USDA1106-psyma"	1.638141e-09	1.817184	1	5	211	1	145	5	3	1	4271	3	5	1	3	3	4	4	4	"CDO30_RS23065:SGNH/GDSL hydrolase family protein; protein_id=WP_010968046.1"
NA	2	"USDA1106-psyma"	1.751746e-09	1.729908	2	3	199	21	14	17	5	30	84	28	5	15	32	62	2	4	46	""
5099	3	"USDA1106-psyma"	1.829938e-09	1.727764	3	7	308	3	256	7	5	3	6305	5	12	3	4	1	2	2	5	"CDO30_RS23155:MFS transporter; protein_id=WP_010968029.1"
5279	4	"USDA1106-psyma"	8.130082e-09	1.559884	4	3	926	4	199	2	2	5	4473	6	2	4	2	7	1	1	13	"CDO30_RS21460:malonyl-CoA synthase; protein_id=WP_010967081.1"
6968	5	"USDA1106-psyma"	6.854429e-08	1.432784	5	17	103	5	191	11	11	7	5818	1	53	5	8	4	7	5	3	"CDO30_RS23125:SDR family oxidoreductase (pseudogene)"
8665	1	"USDA1106-psyma"	1.492927e-05	0.9281847	31	60	2884	505	1	397	141	159	277	824	6	428	303	543	538	129	470	"CDO30_RS20205:type II toxin-antitoxin system ParD family antitoxin; protein_id=WP_080606042.1"
4696	2	"USDA1106-psyma"	8.294485e-05	1.228393	1	1066	7795	32	2	501	152	432	1142	164	686	28	381	41	113	65	3765	"CDO30_RS21100:DUF2200 domain-containing protein; protein_id=WP_010967147.1"
7570	3	"USDA1106-psyma"	8.315945e-05	0.8894853	42	230	4017	1628	3	1544	252	392	973	1319	71	1340	1113	3595	948	414	4213	"CDO30_RS20200:type II toxin-antitoxin system RelE/ParE family toxin; protein_id=WP_010967294.1"
6436	4	"USDA1106-psyma"	0.0002405262	0.7325056	135	248	86	126	4	50	984	87	5839	191	86	82	108	69	444	124	73	"CDO30_RS22335:site-specific integrase; protein_id=WP_010968163.1"
4433	5	"USDA1106-psyma"	0.0003171587	1.092403	6	2910	3101	40	5	496	130	301	61	76	589	24	332	6	85	57	2238	"CDO30_RS21085:class I SAM-dependent methyltransferase; protein_id=WP_010967149.1"
1681	1	"USDA1106-psyma"	4.752451e-05	-0.3487102	85	6851	1	3388	4454	7794	2922	3989	3713	714	3672	2517	8503	5194	991	6763	2638	"CDO30_RS22190:aldo/keto reductase; protein_id=WP_010968188.1"
1220	2	"USDA1106-psyma"	7.264406e-05	-0.2542213	479	813	625	1069	539	536	859	787	515	795	471	1128	652	418	704	179	260	"CDO30_RS19120:glmS, glutamine--fructose-6-phosphate transaminase (isomerizing); protein_id=WP_010967462.1"
3799	3	"USDA1106-psyma"	0.0001669443	0.4041973	34	2833	3	6501	1743	7470	2518	4603	2623	9023	7230	6049	4019	8389	5315	8465	6830	"CDO30_RS24970:type II toxin-antitoxin system RelE/ParE family toxin; protein_id=WP_010967721.1"
