"Response"	"Coefficient"	"Pvalue"	"Genotype"
"nodules_perplant"	411.636494989513	1.86734433071718e-06	"(Intercept)"
"nodules_perplant"	-59.5999999999998	0.529968503259927	"hcl"
"nodules_perplant"	327.483904295813	0.00452531666198864	"ipd3"
"nodules_perplant"	-148.3	0.122014822775518	"nad1"
"nodules_perplant"	-208.7	0.0315164887602078	"dnf1"
"nodules_perplant"	-275.566666666667	0.00524450017182287	"dnf2"
"nodules_perplant"	26	0.783743853119752	"dnf3"
"nodules_perplant"	-138.182762370854	0.214830251293854	"dnf4"
"nodules_perplant"	-87.2	0.359277368328837	"dnf6"
"nodules_perplant"	-129.9	0.174327842468316	"dnf7"
"nodules_perplant"	-225.337574768896	0.0457188155459845	"dnf1/dnf2"
"nodules_perplant"	-264.814546527368	0.0112146658470445	"dnf5/dnf2"
"nodules_perplant"	-354.197525250772	0.000933463372467584	"rdn1"
"nodules_perplant"	-370.733333333333	0.000267375272727406	"sunn1"
"nodules_perplant"	-246.866666666666	0.0117238730855352	"sunn4"
"nodules_perplant"	84.7142857142856	0.138954453409281	"repB"
"nodules_perplant"	89.9245164297366	0.112838825132756	"repC"
"nodules_perplant"	123.073404007398	0.0460040994179219	"repD"
"nodules_perplant"	17.1053189010151	0.77709440174415	"repE"
"total_nodulated_area_perplant"	2.39234254253088	1.16094079792523e-08	"(Intercept)"
"total_nodulated_area_perplant"	0.067399999999999	0.876769771893921	"hcl"
"total_nodulated_area_perplant"	-1.11260445894508	0.0322491778630514	"ipd3"
"total_nodulated_area_perplant"	-2.0138	2.55736300758469e-05	"nad1"
"total_nodulated_area_perplant"	-2.1707	7.51045844207269e-06	"dnf1"
"total_nodulated_area_perplant"	-2.1024	1.28424305058429e-05	"dnf2"
"total_nodulated_area_perplant"	-0.829700000000001	0.0609306435192773	"dnf3"
"total_nodulated_area_perplant"	-1.88193779227841	0.000505442562327448	"dnf4"
"total_nodulated_area_perplant"	-1.4244	0.00185686505396534	"dnf6"
"total_nodulated_area_perplant"	-1.8425	9.42782620394464e-05	"dnf7"
"total_nodulated_area_perplant"	-0.833926400217512	0.104621393716282	"dnf1/dnf2"
"total_nodulated_area_perplant"	-2.09830114018951	3.60999651280786e-05	"dnf5/dnf2"
"total_nodulated_area_perplant"	-2.1771522040193	2.03971289645382e-05	"rdn1"
"total_nodulated_area_perplant"	-1.3054	0.00404917925631937	"sunn1"
"total_nodulated_area_perplant"	-1.30946666666667	0.00394505612890416	"sunn4"
"total_nodulated_area_perplant"	-0.251464285714286	0.335305579120339	"repB"
"total_nodulated_area_perplant"	-0.189749965043114	0.461329375622285	"repC"
"total_nodulated_area_perplant"	0.379048641391928	0.175598241782361	"repD"
"total_nodulated_area_perplant"	-0.048547103288922	0.860979267627417	"repE"
"log_CFUpernodule"	5.39790818541965	3.15568451000923e-33	"(Intercept)"
"log_CFUpernodule"	-0.0607194663899089	0.75572587979714	"hcl"
"log_CFUpernodule"	-0.410534569881802	0.101445326739671	"ipd3"
"log_CFUpernodule"	-0.179031493671299	0.33084616186059	"nad1"
"log_CFUpernodule"	-0.244978101387108	0.213913254267543	"dnf1"
"log_CFUpernodule"	-0.214207717150394	0.24578302948557	"dnf2"
"log_CFUpernodule"	-0.138046722231186	0.452336538858105	"dnf3"
"log_CFUpernodule"	-0.239843324374633	0.333797216518576	"dnf4"
"log_CFUpernodule"	-0.536760013648192	0.00518243931032973	"dnf6"
"log_CFUpernodule"	-0.504576579961286	0.00825386609269672	"dnf7"
"log_CFUpernodule"	-0.510301985196081	0.0208154838568591	"dnf1/dnf2"
"log_CFUpernodule"	-1.1177893458679	4.57513077174112e-06	"dnf5/dnf2"
"log_CFUpernodule"	-1.01377752798886	5.08050827132983e-06	"rdn1"
"log_CFUpernodule"	-0.0473095070243384	0.808639315740576	"sunn1"
"log_CFUpernodule"	-0.289285476513086	0.119410904139905	"sunn4"
"log_CFUpernodule"	-0.0638128826111809	0.581900931609557	"repB"
"log_CFUpernodule"	0.0420548833079673	0.727432143176083	"repC"
"log_CFUpernodule"	0.200083541539853	0.106145468616718	"repD"
"log_CFUpernodule"	0.291694452371356	0.0267961695775368	"repE"
"log_CFUperplant"	7.97009469619929	1.50222356201434e-43	"(Intercept)"
"log_CFUperplant"	-0.19036602115697	0.26761867986442	"hcl"
"log_CFUperplant"	-0.23276031862545	0.283302981522952	"ipd3"
"log_CFUperplant"	-0.389475766634093	0.0185072769292659	"nad1"
"log_CFUperplant"	-0.41426052667282	0.0188270253074368	"dnf1"
"log_CFUperplant"	-0.598784356035831	0.000502016554625248	"dnf2"
"log_CFUperplant"	-0.111832908879648	0.485842536080506	"dnf3"
"log_CFUperplant"	-0.176006846777931	0.416070055353857	"dnf4"
"log_CFUperplant"	-0.620515223227382	0.000332111526930639	"dnf6"
"log_CFUperplant"	-0.649345318325262	0.000190355470726285	"dnf7"
"log_CFUperplant"	-0.789126906141128	0.000112717192602588	"dnf1/dnf2"
"log_CFUperplant"	-1.36778012417916	3.89358748039946e-10	"dnf5/dnf2"
"log_CFUperplant"	-1.67114046300078	1.3338218391882e-12	"rdn1"
"log_CFUperplant"	-0.788078124107167	3.21645849379347e-05	"sunn1"
"log_CFUperplant"	-0.64621945279098	0.000202285097903909	"sunn4"
"log_CFUperplant"	-0.00880659403717446	0.928651501638553	"repB"
"log_CFUperplant"	0.227732896994107	0.0305476108385056	"repC"
"log_CFUperplant"	0.349739025797517	0.00148198819953969	"repD"
"log_CFUperplant"	0.330835282387297	0.00425227700584304	"repE"
